ideo,x,y
5, 559, 101
4, 382, 251
2, 412, 232
4, 562, 102
3, 572, 117
4, 556, 93
4, 467, 190
2, 481, 176
4, 478, 174
2, 537, 130
6, 477, 176
7, 412, 236
4, 506, 149
4, 364, 268
7, 383, 254
4, 439, 212
3, 485, 177
2, 414, 146
2, 526, 114
5, 426, 224
6, 488, 163
3, 532, 122
2, 492, 163
3, 491, 158
5, 561, 100
2, 472, 182
2, 390, 237
4, 466, 193
2, 396, 247
6, 487, 172
4, 532, 123
5, 452, 213
3, 516, 137
4, 463, 186
3, 483, 167
4, 559, 99
5, 471, 181
3, 469, 182
1, 557, 97
6, 413, 237
6, 382, 262
4, 546, 112
3, 561, 98
6, 439, 210
4, 549, 90
5, 486, 166
2, 559, 101
3, 539, 118
1, 562, 111
6, 491, 163
1, 564, 102
4, 387, 256
7, 438, 250
1, 433, 225
1, 407, 235
2, 562, 99
6, 469, 191
1, 560, 98
5, 560, 96
4, 559, 103
7, 517, 68
2, 425, 234
2, 363, 269
4, 493, 163
2, 481, 174
2, 525, 155
6, 548, 110
3, 399, 250
4, 561, 99
2, 466, 187
4, 561, 100
2, 558, 99
2, 563, 100
2, 528, 129
3, 563, 101
2, 504, 150
4, 411, 238
6, 564, 97
4, 533, 124
3, 510, 207
6, 396, 250
3, 369, 191
6, 397, 246
3, 413, 235
2, 562, 100
5, 412, 235
2, 559, 98
2, 480, 169
7, 413, 234
6, 383, 257
3, 361, 270
2, 377, 255
1, 556, 92
2, 399, 247
4, 429, 223
7, 519, 137
4, 368, 267
2, 464, 182
3, 488, 165
2, 533, 118
2, 380, 257
2, 396, 243
2, 468, 188
3, 559, 100
7, 545, 113
6, 534, 123
4, 362, 271
7, 411, 239
1, 503, 151
5, 450, 204
6, 414, 308
2, 476, 197
5, 362, 244
4, 517, 137
7, 507, 151
4, 408, 237
4, 420, 236
1, 398, 244
2, 534, 123
2, 413, 234
4, 426, 220
3, 400, 245
4, 480, 171
4, 549, 100
4, 560, 98
2, 464, 188
7, 397, 256
6, 487, 160
1, 556, 95
2, 491, 288
1, 519, 144
